EmpID,PerfScoreID,EngagementSurvey,EmpSatisfaction,SpecialProjectsCount,LastPerformanceReview_Date
10026,4,4.6,5,0,1/17/2019
10084,3,4.96,3,6,2/24/2016
10196,3,3.02,3,0,5/15/2012
10088,3,4.84,5,0,1/3/2019
10069,3,5.0,4,0,2/1/2016
10002,4,5.0,5,0,1/7/2019
10194,3,3.04,3,4,1/2/2019
10062,3,5.0,4,0,2/25/2019
10114,3,4.46,3,0,1/25/2019
10250,3,5.0,5,6,2/18/2019
10252,3,4.2,4,0,1/30/2016
10242,3,4.2,3,0,5/6/2016
10012,4,4.28,4,5,2/25/2019
10265,3,4.6,4,0,2/14/2019
10066,3,5.0,5,0,3/2/2017
10061,3,5.0,4,0,4/5/2017
10023,4,4.4,3,0,1/14/2019
10055,3,5.0,5,0,1/14/2019
10245,3,4.5,4,5,1/15/2015
10277,3,4.2,4,0,1/11/2019
10046,3,5.0,3,0,1/14/2019
10226,3,4.2,3,0,1/10/2019
10003,4,5.0,3,0,2/27/2019
10294,2,2.0,3,0,2/27/2019
10267,3,4.8,5,0,3/4/2014
10199,3,3.5,5,7,1/10/2016
10081,3,5.0,4,3,2/18/2019
10175,3,3.39,3,0,2/20/2014
10177,3,3.35,4,0,3/4/2013
10238,3,4.5,2,6,1/15/2019
10184,3,3.19,3,0,2/1/2019
10203,3,3.5,5,0,1/21/2019
10188,3,3.14,5,0,2/10/2013
10107,3,4.51,4,0,2/21/2019
10181,3,3.25,5,0,1/14/2019
10150,3,3.84,3,5,1/21/2019
10001,4,5.0,3,0,2/22/2019
10085,3,4.96,4,6,1/30/2019
10115,3,4.43,3,0,2/1/2019
10082,3,5.0,5,6,2/18/2019
10040,3,5.0,5,0,1/21/2019
10067,3,5.0,4,0,2/12/2019
10108,3,4.5,5,7,1/15/2019
10210,3,3.3,4,0,2/19/2019
10154,3,3.8,5,0,1/14/2019
10200,3,3.0,5,0,1/19/2019
10240,3,4.3,4,0,3/10/2015
10168,3,3.58,5,0,1/30/2019
10220,3,4.7,3,6,2/27/2019
10275,3,4.2,5,0,5/3/2012
10269,3,4.2,4,0,5/4/2011
10029,4,4.1,4,0,2/28/2019
10261,3,4.4,5,0,1/14/2019
10292,2,2.0,3,0,5/1/2016
10282,2,4.13,2,0,1/14/2019
10019,4,3.7,5,0,2/4/2019
10094,3,4.73,5,0,2/14/2019
10193,3,3.04,3,6,1/22/2019
10132,3,4.12,5,0,1/28/2019
10083,3,5.0,3,4,1/2/2019
10099,3,4.62,4,0,1/24/2019
10212,3,3.1,5,8,2/12/2019
10056,3,5.0,3,0,2/25/2019
10143,3,3.96,4,0,2/27/2019
10311,1,4.3,4,3,1/31/2019
10070,3,5.0,4,0,4/2/2016
10155,3,3.79,5,5,1/25/2019
10306,1,1.93,3,0,1/30/2019
10100,3,4.62,5,0,5/6/2015
10310,1,1.12,2,0,1/31/2019
10197,3,3.01,5,7,1/23/2019
10276,3,4.3,4,0,2/19/2019
10304,1,2.3,1,0,1/29/2019
10284,2,3.88,4,0,1/18/2019
10207,3,3.4,5,0,2/19/2019
10133,3,4.11,4,6,2/25/2019
10028,4,4.3,5,5,1/4/2019
10006,4,4.77,5,0,1/27/2019
10105,3,4.52,4,0,1/15/2019
10211,3,2.9,3,0,1/21/2019
10064,3,5.0,3,0,4/9/2017
10247,3,4.7,5,0,2/13/2019
10235,3,4.2,3,0,1/11/2019
10299,1,3.0,1,0,2/25/2019
10280,2,5.0,4,0,4/12/2018
10296,2,2.3,3,0,1/15/2017
10290,2,2.1,5,4,8/10/2012
10263,3,4.4,5,0,2/22/2019
10136,3,4.0,4,0,1/7/2019
10189,3,3.13,3,0,2/4/2016
10308,1,1.56,5,0,1/3/2019
10309,1,1.2,3,6,2/4/2019
10049,3,5.0,5,0,1/29/2019
10093,3,4.76,5,0,4/5/2013
10163,3,3.66,3,0,1/7/2012
10305,3,2.0,5,0,1/28/2019
10015,4,5.0,5,5,1/7/2019
10080,3,5.0,3,2,2/8/2019
10258,3,4.3,3,0,1/27/2019
10273,3,4.7,4,5,2/1/2019
10111,3,4.5,3,0,2/18/2019
10257,3,4.2,4,0,2/26/2019
10159,3,3.73,3,0,1/16/2019
10122,3,4.24,4,0,4/29/2016
