device,end_ts,source_id,start_ts,uid
touch,2017-10-26 17:00:46,8,2017-10-26 17:00:00,243762024291149070
desktop,2017-11-03 17:16:22,4,2017-11-03 17:00:00,820769296564020295
touch,2017-06-09 14:04:28,3,2017-06-09 14:00:00,667007344868080660
desktop,2017-05-01 02:27:44,6,2017-05-01 02:00:00,572193888165898361
touch,2017-02-11 14:26:06,3,2017-02-11 14:00:00,571749048327668950
desktop,2018-10-27 06:01:34,2,2018-10-27 06:00:00,990151178326310260
touch,2018-11-26 12:12:16,9,2018-11-26 12:00:00,712322232893307751
touch,2018-11-08 22:22:20,3,2018-11-08 22:00:00,379498089662492802
touch,2017-05-08 17:10:12,1,2017-05-08 17:00:00,379717980844854580
desktop,2018-03-13 03:01:11,9,2018-03-13 03:00:00,597857156464245079
touch,2018-05-19 04:09:53,5,2018-05-19 04:00:00,367877713281289629
touch,2017-04-16 23:07:29,7,2017-04-16 23:00:00,458201739071854977
desktop,2018-02-23 01:23:11,2,2018-02-23 01:00:00,456676647751657724
desktop,2017-02-28 09:10:20,1,2017-02-28 09:00:00,760544396461257178
touch,2018-12-03 05:10:14,6,2018-12-03 05:00:00,910401276670532094
desktop,2017-07-08 10:23:54,5,2017-07-08 10:00:00,267365570529679359
touch,2017-04-17 07:01:31,6,2017-04-17 07:00:00,777432531920034491
touch,2017-07-20 16:25:33,2,2017-07-20 16:00:00,993576672009385742
desktop,2017-11-17 19:14:37,7,2017-11-17 19:00:00,342556858794838973
touch,2017-04-20 13:08:48,1,2017-04-20 13:00:00,648882935158774717
touch,2017-11-17 07:18:54,8,2017-11-17 07:00:00,224567670271252331
desktop,2018-02-28 04:12:55,7,2018-02-28 04:00:00,262580006026876147
desktop,2018-12-28 17:11:12,7,2018-12-28 17:00:00,551827466870773240
touch,2017-10-12 18:12:45,6,2017-10-12 18:00:00,856859769658023396
touch,2017-07-22 01:18:33,5,2017-07-22 01:00:00,830931841594536582
touch,2018-10-20 14:27:11,9,2018-10-20 14:00:00,839772884757445448
desktop,2018-10-22 11:21:36,3,2018-10-22 11:00:00,47069606783378705
touch,2018-01-28 23:21:11,9,2018-01-28 23:00:00,210026979290329688
touch,2017-06-22 22:06:01,5,2017-06-22 22:00:00,518945455365208077
touch,2018-04-16 09:06:18,8,2018-04-16 09:00:00,648812040764320641
desktop,2018-01-31 16:20:30,3,2018-01-31 16:00:00,48930842328656827
touch,2017-09-27 14:05:45,7,2017-09-27 14:00:00,634357285132873762
touch,2018-07-07 09:13:18,4,2018-07-07 09:00:00,633100677421309008
desktop,2017-06-04 16:29:44,5,2017-06-04 16:00:00,161963062168655409
desktop,2018-06-15 01:07:35,4,2018-06-15 01:00:00,692164906031803779
touch,2018-06-05 15:15:08,9,2018-06-05 15:00:00,370190644521515573
desktop,2018-06-02 12:01:07,7,2018-06-02 12:00:00,861653531725782787
touch,2017-08-10 11:16:27,6,2017-08-10 11:00:00,591857933776914833
touch,2017-08-13 05:26:22,6,2017-08-13 05:00:00,463619807884355115
desktop,2018-01-31 17:16:19,7,2018-01-31 17:00:00,36874915135987913
touch,2018-07-17 06:00:43,5,2018-07-17 06:00:00,365751060173591523
touch,2018-12-08 06:03:49,3,2018-12-08 06:00:00,653015308345511774
touch,2018-10-19 08:24:28,3,2018-10-19 08:00:00,864678038069918990
touch,2017-07-12 14:03:54,7,2017-07-12 14:00:00,479477987300715981
touch,2017-06-22 04:20:23,1,2017-06-22 04:00:00,156482217201792251
